epoch,train,valid,test,train_loss
324.0,1.0,0.986,0.984,4.2884100895691164e-10
325.0,1.0,0.9856,0.9841,3.7469431330260193e-10
326.0,1.0,0.9858,0.9834,6.042734547881853e-10
327.0,1.0,0.9856,0.9841,1.43810294796629e-09
328.0,1.0,0.9862,0.9838,2.1225482185813927e-10
329.0,1.0,0.9854,0.9836,3.6819665920824246e-10
330.0,1.0,0.9854,0.9833,2.577379743737478e-10
331.0,1.0,0.986,0.9835,1.9709375242982218e-10
332.0,1.0,0.9854,0.9834,6.844099888892414e-10
333.0,1.0,0.986,0.9841,5.891124320925118e-10
334.0,1.0,0.9858,0.9837,4.1151366384262977e-10
335.0,1.0,0.986,0.984,2.360792619533016e-10
336.0,1.0,0.9858,0.9833,1.9709374765328128e-10
337.0,1.0,0.9854,0.9837,2.0445086090523027e-09
338.0,1.0,0.986,0.9837,4.049839325778931e-09
339.0,1.0,0.9858,0.9837,3.5086949947538654e-10
340.0,1.0,0.986,0.9839,2.7289894672209813e-10
341.0,1.0,0.9858,0.9834,5.739526318040267e-10
342.0,1.0,0.9858,0.9834,1.8843012796082967e-10
343.0,1.0,0.986,0.9835,4.85152889309421e-10
344.0,1.0,0.9854,0.9838,2.2741580634148538e-10
345.0,1.0,0.986,0.9838,3.6819588398856077e-10
346.0,1.0,0.9854,0.9834,1.8626441035557828e-10
347.0,1.0,0.9858,0.983,1.5594234753631175e-10
348.0,1.0,0.9858,0.9834,1.1479089307005229e-10
349.0,1.0,0.986,0.9837,1.7760094712711574e-10
350.0,1.0,0.9854,0.9843,2.2308412752739563e-10
351.0,1.0,0.9858,0.9839,5.024791362065785e-10
